,v,vw,o,c,h,l,t,n
0,23066.0,177.0611,177.5,177.56,177.85,175.4,1711958400000,997
1,9059.0,177.4742,177.5,177.24,177.75,177.24,1711958460000,204
2,1409.0,177.2666,177.26,177.26,177.26,177.26,1711958520000,91
3,4076.0,177.0074,177.0,176.93,177.0,176.85,1711958580000,240
4,4349.0,176.8905,176.83,176.91,176.92,176.83,1711958640000,104
5,4237.0,176.7643,176.8,176.85,176.85,176.62,1711958700000,112
6,2950.0,176.8189,176.85,176.7,176.9,176.7,1711958760000,133
7,7566.0,176.7744,176.75,176.8,176.8,176.66,1711958820000,87
8,882.0,176.8561,176.85,176.85,176.85,176.85,1711958880000,38
9,6645.0,177.0028,176.97,177.1,177.1,176.95,1711959000000,141
10,9709.0,177.2275,177.08,177.24,177.39,177.08,1711959060000,155
11,2159.0,177.2357,177.21,177.35,177.35,177.2,1711959120000,50
12,5422.0,177.4052,177.3,177.45,177.45,177.3,1711959180000,83
13,5903.0,177.4886,177.45,177.52,177.55,177.45,1711959240000,131
14,1795.0,177.436,177.45,177.45,177.45,177.4,1711959300000,44
15,1762.0,177.4033,177.4,177.35,177.4,177.35,1711959360000,63
16,3049.0,177.3628,177.4,177.36,177.4,177.33,1711959420000,56
17,1571.0,177.4042,177.39,177.39,177.39,177.39,1711959480000,56
18,2187.0,177.3953,177.39,177.44,177.44,177.39,1711959540000,44
19,1173.0,177.3988,177.4,177.39,177.4,177.39,1711959600000,42
20,1408.0,177.3997,177.39,177.43,177.43,177.39,1711959660000,33
21,2998.0,177.3416,177.38,177.3,177.38,177.3,1711959780000,101
22,2824.0,177.3009,177.36,177.3,177.36,177.3,1711959840000,47
23,762.0,177.1623,177.15,177.2,177.2,177.15,1711960020000,21
24,1442.0,177.2771,177.29,177.3,177.3,177.29,1711960080000,50
25,1305.0,177.3491,177.31,177.35,177.35,177.31,1711960140000,24
26,2310.0,177.3145,177.32,177.3,177.32,177.3,1711960200000,29
27,2294.0,177.315,177.39,177.3,177.39,177.3,1711960320000,37
28,827.0,177.308,177.3,177.3,177.3,177.3,1711960380000,21
29,3238.0,177.3715,177.3,177.38,177.4,177.3,1711960440000,63
30,657.0,177.3441,177.34,177.34,177.34,177.34,1711960560000,18
31,3183.0,177.3971,177.38,177.4,177.41,177.38,1711960620000,53
32,2142.0,177.4633,177.45,177.49,177.49,177.44,1711960680000,47
33,5639.0,177.5278,177.49,177.5,177.55,177.49,1711960740000,145
34,1344.0,177.4818,177.49,177.45,177.49,177.45,1711960800000,37
35,1954.0,177.4085,177.43,177.41,177.43,177.4,1711960860000,36
36,862.0,177.4442,177.43,177.45,177.45,177.43,1711960920000,21
37,365.0,177.4473,177.43,177.43,177.43,177.43,1711961100000,20
38,987.0,177.4072,177.43,177.4,177.43,177.4,1711961160000,33
39,2481.0,177.3495,177.4,177.31,177.4,177.31,1711961280000,77
40,1788.0,177.3408,177.3,177.38,177.38,177.3,1711961340000,51
41,788.0,177.4004,177.4,177.42,177.42,177.4,1711961460000,24
42,5091.0,177.4908,177.42,177.5,177.5,177.42,1711961520000,66
43,1403.0,177.479,177.43,177.5,177.5,177.43,1711961580000,35
44,9203.0,177.6849,177.55,177.8,177.8,177.55,1711961640000,202
45,1964.0,177.7479,177.75,177.75,177.75,177.73,1711961700000,49
46,12707.0,177.8322,177.73,177.72,177.9,177.72,1711961760000,131
47,1799.0,177.7316,177.77,177.76,177.77,177.7,1711961820000,42
48,1495.0,177.7603,177.77,177.75,177.77,177.74,1711961940000,47
49,1644.0,177.827,177.81,177.8,177.87,177.8,1711962000000,41
50,4267.0,177.7224,177.81,177.7,177.81,177.7,1711962060000,60
51,909.0,177.7108,177.7,177.7,177.7,177.7,1711962120000,32
52,1029.0,177.7761,177.79,177.79,177.79,177.79,1711962180000,44
53,424.0,177.772,177.77,177.77,177.77,177.77,1711962240000,31
54,773.0,177.7707,177.78,177.78,177.78,177.78,1711962300000,41
55,2527.0,177.7563,177.79,177.73,177.79,177.73,1711962360000,99
56,2484.0,177.6826,177.7,177.6,177.7,177.6,1711962420000,77
57,2149.0,177.6135,177.6,177.65,177.65,177.6,1711962480000,43
58,967.0,177.6766,177.65,177.65,177.65,177.65,1711962540000,48
59,849.0,177.6821,177.7,177.7,177.7,177.7,1711962600000,39
60,1204.0,177.6835,177.66,177.7,177.7,177.66,1711962780000,35
61,1435.0,177.7115,177.71,177.72,177.72,177.71,1711962840000,41
62,4475.0,177.7623,177.74,177.76,177.79,177.74,1711962960000,88
63,822.0,177.7366,177.72,177.72,177.72,177.72,1711963140000,43
64,2136.0,177.7273,177.75,177.7,177.75,177.7,1711963200000,46
65,1399.0,177.7065,177.7,177.7,177.7,177.7,1711963260000,46
66,683.0,177.7383,177.74,177.74,177.74,177.74,1711963320000,20
67,642.0,177.7122,177.71,177.7,177.71,177.7,1711963380000,34
68,1346.0,177.7001,177.7,177.7,177.7,177.7,1711963500000,26
69,1500.0,177.6877,177.71,177.7,177.71,177.7,1711963560000,59
70,1764.0,177.6805,177.67,177.7,177.7,177.67,1711963620000,29
71,2016.0,177.7177,177.72,177.71,177.72,177.71,1711963680000,30
72,560.0,177.7514,177.76,177.76,177.76,177.76,1711963800000,25
73,2152.0,177.7018,177.71,177.7,177.71,177.7,1711963860000,59
74,1164.0,177.7015,177.71,177.71,177.71,177.71,1711963980000,33
75,773.0,177.7149,177.7,177.71,177.71,177.7,1711964040000,27
76,307.0,177.6912,177.7,177.7,177.7,177.7,1711964100000,21
77,817.0,177.7066,177.7,177.7,177.7,177.7,1711964160000,32
78,679.0,177.7053,177.7,177.7,177.7,177.7,1711964220000,28
79,1919.0,177.7022,177.7,177.7,177.7,177.7,1711964280000,83
80,539.0,177.6787,177.69,177.69,177.69,177.69,1711964340000,23
81,3160.0,177.7315,177.7,177.76,177.76,177.7,1711964640000,64
82,1132.0,177.8085,177.81,177.81,177.81,177.81,1711964700000,34
83,675.0,177.7903,177.77,177.77,177.77,177.77,1711964760000,39
84,630.0,177.7918,177.8,177.8,177.8,177.8,1711964940000,22
85,669.0,177.7955,177.8,177.8,177.8,177.8,1711965000000,19
86,1040.0,177.8199,177.82,177.83,177.83,177.82,1711965060000,35
87,699.0,177.8194,177.83,177.83,177.83,177.83,1711965180000,27
88,817.0,177.8055,177.82,177.8,177.82,177.8,1711965240000,33
89,1240.0,177.81,177.8,177.82,177.82,177.8,1711965360000,45
90,4187.0,177.8898,177.82,177.93,177.93,177.82,1711965420000,89
91,14882.0,178.0307,177.95,178.1,178.19,177.92,1711965480000,276
92,2063.0,178.035,178.05,178.0,178.05,178.0,1711965540000,52
93,1630.0,177.9222,177.95,177.92,177.95,177.92,1711965600000,53
94,755.0,177.8237,177.81,177.81,177.81,177.81,1711965660000,23
95,2075.0,177.806,177.85,177.76,177.85,177.76,1711965780000,83
96,985.0,177.7668,177.77,177.75,177.77,177.75,1711965840000,36
97,1896.0,177.6995,177.7,177.7,177.7,177.7,1711965900000,52
98,2228.0,177.7842,177.7,177.8,177.8,177.7,1711966020000,26
99,360.0,177.7568,177.75,177.75,177.75,177.75,1711966080000,23
100,1452.0,177.7596,177.76,177.76,177.76,177.76,1711966200000,45
101,1017.0,177.7334,177.75,177.75,177.75,177.71,1711966260000,44
102,716.0,177.7263,177.71,177.71,177.71,177.71,1711966440000,29
103,2907.0,177.7546,177.75,177.78,177.78,177.75,1711966500000,57
104,1021.0,177.7062,177.67,177.67,177.67,177.67,1711966560000,57
105,1621.0,177.8082,177.78,177.85,177.85,177.78,1711966620000,59
106,1045.0,177.8639,177.85,177.87,177.87,177.85,1711966680000,20
107,963.0,177.8325,177.85,177.85,177.85,177.85,1711966800000,39
108,1830.0,177.7992,177.82,177.78,177.82,177.78,1711966860000,46
109,370.0,177.8004,177.8,177.8,177.8,177.8,1711966980000,25
110,3635.0,177.8292,177.78,177.85,177.85,177.78,1711967160000,114
111,1604.0,177.9047,177.9,177.9,177.9,177.9,1711967220000,44
112,9091.0,177.9865,177.9,178.0,178.0,177.9,1711967280000,189
113,2953.0,178.0312,178.04,178.05,178.05,178.03,1711967340000,51
114,1362.0,178.0802,178.09,178.06,178.09,178.06,1711967460000,44
115,2592.0,178.0952,178.03,178.11,178.11,178.03,1711967520000,79
116,2865.0,178.1102,178.14,178.07,178.15,178.07,1711967580000,72
117,1795.0,178.0711,178.05,178.1,178.1,178.05,1711967640000,32
118,9921.0,178.2056,178.13,178.2,178.25,178.13,1711967700000,164
119,5589.0,178.2066,178.26,178.2,178.26,178.17,1711967760000,106
120,4610.0,178.1985,178.22,178.25,178.26,178.12,1711967820000,148
121,2915.0,178.1142,178.22,178.0,178.22,178.0,1711967880000,109
122,1235.0,177.9996,178.07,177.94,178.07,177.94,1711967940000,67
123,3212.0,177.9006,177.94,177.85,177.94,177.85,1711968000000,101
124,2493.0,177.788,177.9,177.78,177.9,177.7,1711968060000,112
125,1356.0,177.8344,177.8,177.85,177.85,177.8,1711968120000,30
126,777.0,177.7428,177.72,177.72,177.72,177.72,1711968180000,67
127,391.0,177.769,177.74,177.74,177.74,177.74,1711968240000,35
128,594.0,177.7221,177.73,177.73,177.73,177.73,1711968300000,42
129,735.0,177.7197,177.7,177.72,177.72,177.7,1711968600000,38
130,1682.0,177.7047,177.65,177.65,177.65,177.65,1711968660000,107
131,1286.0,177.71,177.7,177.73,177.73,177.7,1711968720000,41
132,500.0,177.7285,177.75,177.75,177.75,177.75,1711968780000,27
133,256.0,177.7232,177.72,177.72,177.72,177.72,1711968840000,18
134,2277.0,177.845,177.78,177.9,177.9,177.78,1711968900000,81
135,834.0,177.7825,177.76,177.78,177.78,177.76,1711968960000,33
136,2672.0,177.7122,177.72,177.7,177.72,177.7,1711969020000,65
137,1522.0,177.8534,177.88,177.92,177.92,177.79,1711969140000,48
138,19685.0,177.5321,177.77,177.3,177.78,177.3,1711969200000,543
139,8121.0,177.2029,177.34,177.1,177.35,177.1,1711969260000,189
140,10387.0,176.9854,177.01,177.01,177.01,176.95,1711969320000,335
141,1226.0,177.1914,177.22,177.22,177.22,177.22,1711969380000,44
142,2281.0,177.1147,177.17,177.03,177.17,177.03,1711969440000,79
143,6332.0,177.0169,177.1,177.0,177.1,177.0,1711969500000,106
144,8925.0,176.7719,176.95,176.71,176.95,176.7,1711969560000,246
145,4201.0,176.6313,176.7,176.55,176.7,176.55,1711969620000,130
146,7154.0,176.7594,176.7,176.87,176.87,176.7,1711969680000,104
147,2855.0,176.8658,176.85,176.88,176.89,176.85,1711969740000,54
148,3802.0,176.9542,176.9,177.0,177.0,176.9,1711969800000,111
149,3329.0,177.0525,176.99,177.1,177.1,176.99,1711969860000,69
150,5452.0,177.0753,177.07,177.1,177.1,177.02,1711969920000,88
151,25145.0,177.0099,177.14,177.0,177.14,177.0,1711969980000,133
152,3176.0,176.8813,176.87,176.85,176.89,176.85,1711970040000,93
153,3515.0,176.8691,176.91,176.8,176.93,176.8,1711970100000,87
154,4422.0,176.7248,176.8,176.8,176.8,176.65,1711970160000,155
155,2180.0,176.7815,176.8,176.75,176.8,176.75,1711970220000,46
156,2736.0,176.8084,176.8,176.8,176.85,176.8,1711970280000,63
157,5863.0,176.6824,176.8,176.6,176.8,176.6,1711970340000,155
158,1908.0,176.5993,176.63,176.58,176.63,176.58,1711970400000,63
159,5981.0,176.5723,176.52,176.64,176.64,176.51,1711970460000,89
160,1638.0,176.6512,176.64,176.64,176.64,176.64,1711970520000,31
161,2644.0,176.6194,176.66,176.6,176.66,176.6,1711970580000,70
162,5810.0,176.5159,176.59,176.49,176.59,176.49,1711970640000,192
163,3167.0,176.3211,176.33,176.35,176.4,176.3,1711970700000,134
164,3079.0,176.498,176.43,176.5,176.53,176.43,1711970760000,83
165,2736.0,176.479,176.5,176.49,176.5,176.46,1711970820000,90
166,1655.0,176.4584,176.48,176.48,176.48,176.48,1711970880000,60
167,1348.0,176.4186,176.43,176.4,176.43,176.4,1711970940000,79
168,7133.0,176.2646,176.26,176.3,176.3,176.25,1711971000000,178
169,3176.0,176.3663,176.34,176.4,176.4,176.34,1711971060000,89
170,5244.0,176.4662,176.38,176.5,176.5,176.38,1711971120000,98
171,5531.0,176.3707,176.3,176.42,176.43,176.3,1711971180000,128
172,748.0,176.3618,176.35,176.35,176.35,176.35,1711971240000,36
173,1884.0,176.4097,176.38,176.45,176.45,176.35,1711971300000,44
174,3330.0,176.4677,176.47,176.45,176.5,176.45,1711971360000,68
175,7495.0,176.3707,176.4,176.21,176.47,176.21,1711971420000,139
176,1017.0,176.4127,176.4,176.4,176.4,176.4,1711971480000,24
177,3250.0,176.3647,176.4,176.36,176.4,176.33,1711971540000,87
178,1424.0,176.3812,176.4,176.35,176.4,176.35,1711971600000,37
179,3013.0,176.3684,176.37,176.35,176.38,176.35,1711971660000,47
180,2554.0,176.3406,176.37,176.35,176.37,176.3,1711971720000,55
181,1347.0,176.3471,176.33,176.35,176.35,176.33,1711971780000,41
182,6775.0,176.4573,176.38,176.5,176.5,176.38,1711971840000,97
183,8911.0,176.5504,176.5,176.58,176.59,176.5,1711971900000,154
184,2447.0,176.4674,176.46,176.48,176.48,176.44,1711971960000,60
185,2654.0,176.4714,176.49,176.43,176.53,176.43,1711972020000,65
186,1727.0,176.4194,176.41,176.41,176.41,176.41,1711972080000,63
187,1201.0,176.4104,176.4,176.4,176.4,176.4,1711972140000,59
188,2171.0,176.4521,176.42,176.45,176.47,176.42,1711972200000,64
189,2407.0,176.4458,176.42,176.46,176.46,176.42,1711972320000,48
190,3540.0,176.42,176.46,176.4,176.46,176.4,1711972380000,102
191,12459.0,176.506,176.45,176.6,176.6,176.45,1711972440000,109
192,2883.0,176.5776,176.59,176.58,176.59,176.58,1711972500000,64
193,956.0,176.5663,176.59,176.59,176.59,176.59,1711972560000,42
194,2312.0,176.5814,176.59,176.59,176.59,176.59,1711972620000,60
195,981.0,176.5313,176.53,176.53,176.53,176.53,1711972680000,37
196,2239.0,176.5587,176.56,176.56,176.56,176.55,1711972740000,53
197,209588.0,176.7926,177.3,176.43,177.8233,176.2061,1711972800000,2077
198,10907.0,176.8455,176.72,175.351,177.45,175.351,1711972860000,538
199,19351.0,176.7835,176.45,176.45,177.2,176.4122,1711972920000,990
200,9736.0,176.8377,177.15,177.14,177.29,176.35,1711972980000,549
201,16694.0,176.5956,177.3,176.2701,177.45,176.27,1711973040000,642
202,52755.0,176.4475,175.79,177.19,177.39,175.79,1711973100000,2028
203,25941.0,176.1448,176.82,175.84,176.94,175.8,1711973160000,616
204,5940.0,175.8791,175.9349,175.93,175.9349,175.8,1711973220000,143
205,7727.0,175.9611,175.857,175.9997,176.0,175.85,1711973280000,188
206,4363.0,175.9006,175.9999,175.85,176.0,175.85,1711973340000,128
207,5189.0,175.8961,175.81,175.9,175.99,175.81,1711973400000,103
208,2045.0,175.8875,175.905,175.88,175.91,175.86,1711973460000,73
209,4994.0,175.8559,175.8383,175.86,175.9394,175.82,1711973520000,122
210,3374.0,175.9369,175.94,175.95,175.96,175.94,1711973580000,102
211,5636.0,175.9395,175.96,175.9,175.96,175.9,1711973640000,100
212,15282.0,175.7446,175.89,175.7,175.89,175.61,1711973700000,579
213,6422.0,175.7439,175.66,175.73,175.8801,175.66,1711973760000,138
214,2158.0,175.7853,175.75,175.85,175.85,175.75,1711973820000,101
215,3032.0,175.8269,175.7757,175.83,175.89,175.7757,1711973880000,78
216,10409.0,175.9606,175.86,175.8947,176.0,175.86,1711973940000,177
217,2845.0,175.8626,175.9,175.82,175.91,175.8163,1711974000000,101
218,8744.0,175.752,175.76,175.73,175.8,175.63,1711974060000,220
219,7661.0,175.7854,175.6615,175.88,175.88,175.6615,1711974120000,139
220,3788.0,175.7726,175.8,175.8,175.82,175.65,1711974180000,131
221,7127.0,175.868,175.82,175.88,175.88,175.8,1711974240000,95
222,3334.0,175.8902,175.8,175.9,175.94,175.8,1711974300000,113
223,5579.0,175.9397,175.8994,175.98,175.98,175.8965,1711974360000,134
224,6224.0,175.9401,175.9,175.9,175.98,175.88,1711974420000,146
225,2603.0,175.9085,175.9749,175.89,175.9749,175.8803,1711974480000,87
226,4110.0,175.8873,175.89,175.85,175.9,175.85,1711974540000,128
227,2738.0,175.8302,175.84,175.87,175.8985,175.79,1711974600000,85
228,5100.0,175.8321,175.88,175.7631,175.9,175.7631,1711974660000,163
229,3200.0,175.8105,175.76,175.8499,175.8499,175.76,1711974720000,91
230,5416.0,175.8421,175.8475,175.8,175.85,175.8,1711974780000,126
231,3969.0,175.8158,175.81,175.83,175.84,175.79,1711974840000,129
232,3428.0,175.8191,175.7626,175.85,175.85,175.7626,1711974900000,87
233,9508.0,175.8378,175.79,175.84,175.85,175.79,1711974960000,183
234,4338.0,175.8172,175.84,175.8,175.85,175.8,1711975020000,172
235,5583.0,175.7327,175.82,175.76,175.82,175.65,1711975080000,247
236,7027.0,175.7836,175.77,175.78,175.8,175.77,1711975140000,127
237,5309.0,175.7747,175.79,175.8,175.8,175.75,1711975200000,166
238,7608.0,175.8702,175.8,175.9383,175.95,175.8,1711975260000,201
239,3231.0,175.9274,175.93,175.92,175.95,175.89,1711975320000,113
240,8301.0,175.965,175.95,175.96,175.98,175.93,1711975380000,133
241,4312.0,175.919,175.92,175.88,175.95,175.88,1711975440000,152
242,10442.0,176.052,175.94,176.16,176.18,175.94,1711975500000,291
243,5901.0,176.0705,176.1,176.04,176.13,176.04,1711975560000,202
244,8080.0,176.0519,176.0,176.2,176.2,175.99,1711975620000,230
245,7325.0,176.0882,176.1811,176.0726,176.1811,176.02,1711975680000,196
246,3667.0,176.0885,176.15,176.03,176.15,176.03,1711975740000,146
247,6139.0,176.0187,176.03,176.09,176.09,176.0,1711975800000,159
248,9346.0,176.0981,176.09,176.05,176.2,176.0,1711975860000,207
249,5152.0,176.0486,176.07,176.0916,176.1189,176.0,1711975920000,204
250,4121.0,176.0185,176.0008,176.06,176.0992,175.95,1711975980000,146
251,8366.0,176.1402,176.1,176.15,176.2,176.1,1711976040000,209
252,6262.0,176.1463,176.15,176.14,176.15,176.14,1711976100000,136
253,6056.0,176.146,176.14,176.14,176.1691,176.14,1711976160000,147
254,2972.0,176.0955,176.14,176.02,176.14,176.02,1711976220000,113
255,4968.0,176.0512,176.0216,176.02,176.14,176.02,1711976280000,129
256,3676.0,176.0798,176.0416,176.11,176.11,176.0416,1711976340000,85
257,2651.0,176.0655,176.08,176.07,176.1088,176.03,1711976400000,140
258,6061.0,176.0273,176.07,176.0,176.09,176.0,1711976460000,223
259,4087.0,175.9907,176.01,176.05,176.05,175.9537,1711976520000,116
260,7062.0,176.1051,176.0045,176.18,176.18,176.0045,1711976580000,129
261,18384.0,176.1884,176.15,176.2451,176.3087,176.14,1711976640000,325
262,7361.0,176.3009,176.24,176.35,176.35,176.24,1711976700000,201
263,8444.0,176.3354,176.32,176.28,176.39,176.28,1711976760000,270
264,2519.0,176.3016,176.254,176.3076,176.3323,176.25,1711976820000,159
265,4334.0,176.2894,176.2546,176.3,176.3,176.2546,1711976880000,175
266,2674.0,176.3087,176.3193,176.3013,176.32,176.3,1711976940000,164
267,2484.0,176.3134,176.34,176.3,176.34,176.3,1711977000000,109
268,5692.0,176.2644,176.2892,176.28,176.2892,176.24,1711977060000,275
269,4044.0,176.2455,176.24,176.24,176.26,176.24,1711977120000,148
270,5682.0,176.2483,176.26,176.25,176.27,176.24,1711977180000,152
271,5504.0,176.2674,176.25,176.25,176.3,176.25,1711977240000,158
272,8490.0,176.2447,176.26,176.2407,176.28,176.22,1711977300000,231
273,8197.0,176.2458,176.24,176.24,176.29,176.24,1711977360000,233
274,16769.0,176.1601,176.2,176.15,176.2,176.14,1711977420000,352
275,6407.0,176.1989,176.16,176.2,176.26,176.15,1711977480000,172
276,2875.0,176.2311,176.24,176.23,176.26,176.23,1711977540000,117
277,4752.0,176.1919,176.23,176.15,176.23,176.15,1711977600000,180
278,7155.0,176.1644,176.16,176.2,176.2,176.14,1711977660000,188
279,11289.0,176.2,176.14,176.22,176.23,176.14,1711977720000,145
280,10131.0,176.2103,176.23,176.18,176.23,176.1705,1711977780000,151
281,2734.0,176.1799,176.17,176.18,176.2224,176.17,1711977840000,170
282,31723.0,175.8969,176.14,175.91,176.14,175.7,1711977900000,883
283,7528.0,175.8974,175.9,175.95,175.9597,175.8,1711977960000,233
284,15133.0,175.9445,175.8,176.2,176.3,175.8,1711978020000,317
285,6760.0,176.1024,176.19,176.04,176.19,176.01,1711978080000,130
286,10789.0,176.16,176.04,176.18,176.23,176.04,1711978140000,212
287,1181163.0,176.2977,176.17,176.15,176.75,176.05,1711978200000,16219
288,560021.0,175.7457,176.12,175.27,176.2099,175.27,1711978260000,7863
289,828966.0,174.7135,175.27,174.725,175.27,174.19,1711978320000,12910
290,532789.0,174.6045,174.76,174.5121,174.92,174.28,1711978380000,5200
291,578059.0,175.1861,174.56,175.948,175.96,174.5301,1711978440000,5423
292,469998.0,175.8084,175.94,175.7745,175.98,175.61,1711978500000,4957
293,387134.0,175.6576,175.83,175.76,175.91,175.4031,1711978560000,3572
294,321846.0,175.6484,175.7565,175.59,175.88,175.45,1711978620000,3386
295,358734.0,175.641,175.5981,175.6,175.92,175.4016,1711978680000,3565
296,340741.0,175.504,175.61,175.5,175.68,175.38,1711978740000,3435
297,593115.0,175.7339,175.525,175.8646,176.12,175.42,1711978800000,4410
298,253648.0,175.8252,175.865,176.047,176.12,175.55,1711978860000,2807
299,380033.0,176.0528,176.05,176.048,176.2,175.86,1711978920000,3401
300,479099.0,175.5749,176.04,175.31,176.1083,175.2,1711978980000,4335
301,536351.0,174.9873,175.285,174.8547,175.3799,174.68,1711979040000,4856
302,273773.0,175.0722,174.85,174.94,175.348,174.77,1711979100000,3151
303,522262.0,174.4646,174.92,174.454,175.0199,174.09,1711979160000,5501
304,396328.0,174.4054,174.43,174.5662,174.63,174.24,1711979220000,3612
305,370640.0,174.5998,174.58,174.87,174.95,174.3101,1711979280000,3827
306,412483.0,175.0144,174.8997,174.93,175.26,174.8,1711979340000,3805
307,263577.0,174.8479,174.945,174.764,175.179,174.52,1711979400000,2981
308,178167.0,174.7912,174.7643,174.775,174.95,174.6,1711979460000,2340
309,283451.0,174.9847,174.7731,175.41,175.46,174.6,1711979520000,2920
310,494287.0,175.685,175.4,175.9001,176.1,175.2126,1711979580000,4079
311,265116.0,175.8543,175.9185,175.705,176.03,175.6757,1711979640000,2814
312,234817.0,175.8413,175.71,175.755,175.96,175.69,1711979700000,2808
313,225329.0,175.7086,175.755,175.724,175.8784,175.55,1711979760000,2308
314,259883.0,175.9203,175.72,175.9673,176.02,175.64,1711979820000,2451
315,240892.0,176.0234,175.979,175.885,176.16,175.8701,1711979880000,2431
316,321604.0,175.5357,175.8927,175.565,175.92,175.22,1711979940000,3023
317,242953.0,175.2862,175.53,175.3399,175.5303,175.11,1711980000000,2744
318,173695.0,175.2869,175.33,175.38,175.4028,175.18,1711980060000,2139
319,282288.0,175.3825,175.37,175.1441,175.7399,175.0601,1711980120000,2773
320,263098.0,174.9331,175.1859,174.8708,175.1859,174.68,1711980180000,3382
321,260239.0,174.7026,174.88,174.6936,174.9,174.46,1711980240000,3419
322,214102.0,174.7363,174.71,174.8701,174.94,174.5116,1711980300000,2833
323,174161.0,174.8796,174.93,174.8988,174.96,174.8,1711980360000,2565
324,226286.0,174.8399,174.9,174.9539,175.0,174.7,1711980420000,2957
325,331356.0,175.0805,174.9302,174.8,175.3,174.8,1711980480000,3580
326,318528.0,174.5904,174.82,174.43,174.96,174.35,1711980540000,3777
327,698656.0,174.092,174.41,173.825,174.4252,173.8,1711980600000,8259
328,634039.0,173.6444,173.79,173.6306,174.08,173.23,1711980660000,7235
329,269061.0,173.5722,173.6483,173.445,173.6899,173.42,1711980720000,3271
330,299951.0,173.6101,173.455,173.5336,173.75,173.44,1711980780000,3127
331,302093.0,173.3502,173.5352,173.29,173.5352,173.173,1711980840000,4014
332,292219.0,173.1474,173.28,173.1243,173.37,173.05,1711980900000,3369
333,445842.0,173.0206,173.1299,172.99,173.19,172.91,1711980960000,5843
334,298200.0,173.1026,172.98,172.945,173.2771,172.92,1711981020000,3515
335,409721.0,172.7602,172.9387,172.53,173.0,172.53,1711981080000,5320
336,384044.0,172.5133,172.542,172.42,172.6499,172.36,1711981140000,4410
337,326419.0,172.4586,172.425,172.49,172.64,172.31,1711981200000,3951
338,260853.0,172.5738,172.485,172.5358,172.69,172.4801,1711981260000,3215
339,312098.0,172.6826,172.57,172.785,172.85,172.5,1711981320000,3509
340,271494.0,172.7001,172.7934,172.575,172.86,172.5,1711981380000,3482
341,259275.0,172.5394,172.55,172.44,172.66,172.41,1711981440000,3024
342,352372.0,172.4223,172.44,172.3385,172.53,172.32,1711981500000,3345
343,402246.0,172.2035,172.32,172.13,172.32,172.09,1711981560000,4933
344,487966.0,172.0307,172.145,171.936,172.2,171.8001,1711981620000,6483
345,481925.0,171.7452,171.93,171.82,171.9389,171.6,1711981680000,5222
346,220613.0,171.7985,171.84,171.728,171.92,171.66,1711981740000,2679
347,359235.0,171.594,171.74,171.4402,171.74,171.4402,1711981800000,4650
348,358674.0,171.4723,171.46,171.41,171.5699,171.4,1711981860000,3645
349,407940.0,171.4223,171.41,171.4499,171.64,171.25,1711981920000,4474
350,373814.0,171.2723,171.43,171.2509,171.4399,171.11,1711981980000,4238
351,489621.0,171.1362,171.26,171.069,171.32,171.0161,1711982040000,4151
352,723626.0,170.7813,171.05,170.5123,171.05,170.51,1711982100000,8540
353,442606.0,170.6399,170.52,170.6524,170.9047,170.4,1711982160000,5452
354,494027.0,170.4794,170.6595,170.37,170.6988,170.31,1711982220000,8203
355,487742.0,170.4164,170.3643,170.63,170.7,170.21,1711982280000,7624
356,268006.0,170.4916,170.65,170.5759,170.65,170.3301,1711982340000,5818
357,379837.0,170.775,170.579,170.8999,170.97,170.57,1711982400000,6267
358,357516.0,170.6147,170.91,170.35,170.932,170.33,1711982460000,6432
359,273561.0,170.5714,170.35,170.88,170.94,170.33,1711982520000,5503
360,378861.0,170.9222,170.89,170.87,171.018,170.8,1711982580000,5646
361,322430.0,170.9252,170.89,171.008,171.08,170.8,1711982640000,5068
362,307929.0,170.8354,170.9919,170.81,171.0,170.73,1711982700000,4864
363,343000.0,170.7926,170.82,170.6018,170.91,170.6,1711982760000,4875
364,331155.0,170.9607,170.6199,170.885,171.12,170.6199,1711982820000,4825
365,210659.0,170.7325,170.8701,170.7305,170.885,170.62,1711982880000,4641
366,268545.0,170.8932,170.7399,170.94,171.02,170.7001,1711982940000,5399
367,304584.0,170.7348,170.9481,170.47,171.01,170.44,1711983000000,6520
368,377287.0,170.483,170.4899,170.295,170.63,170.29,1711983060000,6229
369,346205.0,170.3445,170.295,170.48,170.5,170.21,1711983120000,6076
370,271420.0,170.7388,170.46,170.8199,170.875,170.46,1711983180000,5735
371,204503.0,170.8174,170.82,170.84,170.9199,170.7,1711983240000,5172
372,222810.0,170.8911,170.85,170.86,171.04,170.7315,1711983300000,5087
373,151777.0,170.8213,170.8601,170.74,170.92,170.65,1711983360000,4488
374,133923.0,170.8482,170.7453,170.955,170.99,170.69,1711983420000,3927
375,362564.0,170.9767,170.94,171.055,171.13,170.8,1711983480000,4703
376,186173.0,171.0722,171.05,171.1397,171.14,171.0101,1711983540000,4117
377,245256.0,171.0887,171.12,171.093,171.2,170.99,1711983600000,4698
378,395316.0,171.2178,171.09,171.39,171.39,170.94,1711983660000,5468
379,256726.0,171.4208,171.3897,171.4192,171.49,171.31,1711983720000,4735
380,159406.0,171.3825,171.415,171.41,171.45,171.29,1711983780000,3943
381,246380.0,171.4931,171.4069,171.45,171.58,171.35,1711983840000,4597
382,158844.0,171.3549,171.46,171.27,171.4699,171.26,1711983900000,3974
